model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,keyboard,ourdataset.json,Q00006,0.0,0.6976662294420339,0.9867435693740845
llama,keyboard,ourdataset.json,Q00006,0.0,0.4297276936357474,0.9749135971069336
llama,keyboard,ourdataset.json,Q00006,0.0,0.6477347852384561,0.9866605997085571
llama,keyboard,ourdataset.json,Q00006,0.0,0.6953160137748319,0.9868855476379395
llama,keyboard,ourdataset.json,Q00006,0.0,0.5788770053475935,0.9837220311164856
llama,keyboard,ourdataset.json,Q00006,0.05,,
llama,keyboard,ourdataset.json,Q00006,0.05,,
llama,keyboard,ourdataset.json,Q00006,0.05,,
llama,keyboard,ourdataset.json,Q00006,0.05,,
llama,keyboard,ourdataset.json,Q00006,0.05,,
llama,keyboard,ourdataset.json,Q00006,0.1,0.618346863688499,0.9862259030342102
llama,keyboard,ourdataset.json,Q00006,0.1,0.6155665086520469,0.9856550097465515
llama,keyboard,ourdataset.json,Q00006,0.1,0.5938462934006029,0.9856694340705872
llama,keyboard,ourdataset.json,Q00006,0.1,0.5290189252833272,0.9837372899055481
llama,keyboard,ourdataset.json,Q00006,0.1,0.6155665086520469,0.9856550097465515
llama,keyboard,ourdataset.json,Q00006,0.15,,
llama,keyboard,ourdataset.json,Q00006,0.15,,
llama,keyboard,ourdataset.json,Q00006,0.15,,
llama,keyboard,ourdataset.json,Q00006,0.15,,
llama,keyboard,ourdataset.json,Q00006,0.15,,
llama,keyboard,ourdataset.json,Q00006,0.2,0.6383019759249546,0.9862973093986511
llama,keyboard,ourdataset.json,Q00006,0.2,0.3781292588545084,0.967474639415741
llama,keyboard,ourdataset.json,Q00006,0.2,0.36517800691346264,0.9701634645462036
llama,keyboard,ourdataset.json,Q00006,0.2,0.5841152927723404,0.9856578707695007
llama,keyboard,ourdataset.json,Q00006,0.2,0.48878787878787866,0.9841905832290649
llama,keyboard,ourdataset.json,Q00006,0.25,,
llama,keyboard,ourdataset.json,Q00006,0.25,,
llama,keyboard,ourdataset.json,Q00006,0.25,,
llama,keyboard,ourdataset.json,Q00006,0.25,,
llama,keyboard,ourdataset.json,Q00006,0.25,,
llama,keyboard,ourdataset.json,Q00006,0.3,0.40252060445272264,0.9751123189926147
llama,keyboard,ourdataset.json,Q00006,0.3,0.40683789851818447,0.9756890535354614
llama,keyboard,ourdataset.json,Q00006,0.3,0.41240065323897523,0.9718114733695984
llama,keyboard,ourdataset.json,Q00006,0.3,0.40252060445272264,0.9751541018486023
llama,keyboard,ourdataset.json,Q00006,0.3,0.4282311786023346,0.9815462827682495
llama,keyboard,ourdataset.json,Q00006,0.35,,
llama,keyboard,ourdataset.json,Q00006,0.35,,
llama,keyboard,ourdataset.json,Q00006,0.35,,
llama,keyboard,ourdataset.json,Q00006,0.35,,
llama,keyboard,ourdataset.json,Q00006,0.35,,
llama,keyboard,ourdataset.json,Q00006,0.4,0.4371035319300972,0.9807134866714478
llama,keyboard,ourdataset.json,Q00006,0.4,0.4371035319300972,0.9801348447799683
llama,keyboard,ourdataset.json,Q00006,0.4,0.4371035319300972,0.9801348447799683
llama,keyboard,ourdataset.json,Q00006,0.4,0.4371035319300972,0.9801348447799683
llama,keyboard,ourdataset.json,Q00006,0.4,0.4295780130233903,0.9791997075080872
llama,keyboard,ourdataset.json,Q00006,0.45,,
llama,keyboard,ourdataset.json,Q00006,0.45,,
llama,keyboard,ourdataset.json,Q00006,0.45,,
llama,keyboard,ourdataset.json,Q00006,0.45,,
llama,keyboard,ourdataset.json,Q00006,0.45,,
llama,keyboard,ourdataset.json,Q00006,0.5,0.3781649545501825,0.9768322706222534
llama,keyboard,ourdataset.json,Q00006,0.5,0.21496532990729297,0.9656096696853638
llama,keyboard,ourdataset.json,Q00006,0.5,0.2574517830012743,0.9663335680961609
llama,keyboard,ourdataset.json,Q00006,0.5,0.24228533952174208,0.9661799669265747
llama,keyboard,ourdataset.json,Q00006,0.5,0.21879480593334888,0.9651737213134766
llama,keyboard,ourdataset.json,Q00006,0.55,,
llama,keyboard,ourdataset.json,Q00006,0.55,,
llama,keyboard,ourdataset.json,Q00006,0.55,,
llama,keyboard,ourdataset.json,Q00006,0.55,,
llama,keyboard,ourdataset.json,Q00006,0.55,,
llama,keyboard,ourdataset.json,Q00006,0.6,0.33945017580458003,0.9695245623588562
llama,keyboard,ourdataset.json,Q00006,0.6,0.3301036494447413,0.9760152101516724
llama,keyboard,ourdataset.json,Q00006,0.6,0.28506338477575655,0.963847279548645
llama,keyboard,ourdataset.json,Q00006,0.6,0.2617944553157364,0.9635273218154907
llama,keyboard,ourdataset.json,Q00006,0.6,0.25779952505563786,0.9642585515975952
llama,keyboard,ourdataset.json,Q00006,0.65,,
llama,keyboard,ourdataset.json,Q00006,0.65,,
llama,keyboard,ourdataset.json,Q00006,0.65,,
llama,keyboard,ourdataset.json,Q00006,0.65,,
llama,keyboard,ourdataset.json,Q00006,0.65,,
llama,keyboard,ourdataset.json,Q00006,0.7,0.3202001981063555,0.9724794626235962
llama,keyboard,ourdataset.json,Q00006,0.7,0.3202001981063555,0.9724794626235962
llama,keyboard,ourdataset.json,Q00006,0.7,0.2706740627357251,0.963786244392395
llama,keyboard,ourdataset.json,Q00006,0.7,0.3202001981063555,0.9724794626235962
llama,keyboard,ourdataset.json,Q00006,0.7,0.25671775226998583,0.9619059562683105
llama,keyboard,ourdataset.json,Q00006,0.75,,
llama,keyboard,ourdataset.json,Q00006,0.75,,
llama,keyboard,ourdataset.json,Q00006,0.75,,
llama,keyboard,ourdataset.json,Q00006,0.75,,
llama,keyboard,ourdataset.json,Q00006,0.75,,
llama,keyboard,ourdataset.json,Q00006,0.8,0.22162648025809464,0.9648609161376953
llama,keyboard,ourdataset.json,Q00006,0.8,0.2335663797631037,0.9654777646064758
llama,keyboard,ourdataset.json,Q00006,0.8,0.29270510781337983,0.9650368690490723
llama,keyboard,ourdataset.json,Q00006,0.8,0.2672649215747701,0.9668588638305664
llama,keyboard,ourdataset.json,Q00006,0.8,0.2335663797631037,0.9654777646064758
llama,keyboard,ourdataset.json,Q00006,0.85,,
llama,keyboard,ourdataset.json,Q00006,0.85,,
llama,keyboard,ourdataset.json,Q00006,0.85,,
llama,keyboard,ourdataset.json,Q00006,0.85,,
llama,keyboard,ourdataset.json,Q00006,0.85,,
llama,keyboard,ourdataset.json,Q00006,0.9,0.21387555986695425,0.9649085998535156
llama,keyboard,ourdataset.json,Q00006,0.9,0.27349046905273555,0.9638867378234863
llama,keyboard,ourdataset.json,Q00006,0.9,0.2539502950651876,0.9610489010810852
llama,keyboard,ourdataset.json,Q00006,0.9,0.2539502950651876,0.9610489010810852
llama,keyboard,ourdataset.json,Q00006,0.9,0.3425898589042891,0.9737580418586731
llama,keyboard,ourdataset.json,Q00006,0.95,,
llama,keyboard,ourdataset.json,Q00006,0.95,,
llama,keyboard,ourdataset.json,Q00006,0.95,,
llama,keyboard,ourdataset.json,Q00006,0.95,,
llama,keyboard,ourdataset.json,Q00006,0.95,,
llama,keyboard,ourdataset.json,Q00006,1.0,0.25952049907977104,0.9642492532730103
llama,keyboard,ourdataset.json,Q00006,1.0,0.2111504096007554,0.9659868478775024
llama,keyboard,ourdataset.json,Q00006,1.0,0.21375388812957544,0.9635583758354187
llama,keyboard,ourdataset.json,Q00006,1.0,0.22844166091312137,0.9671002626419067
llama,keyboard,ourdataset.json,Q00006,1.0,0.24507493470253022,0.9672681093215942
