model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,synonym,ourdataset.json,Q00019,0.0,1.0,0.9990188479423523
gemini,synonym,ourdataset.json,Q00019,0.0,1.0,0.9990188479423523
gemini,synonym,ourdataset.json,Q00019,0.0,1.0,0.9993458986282349
gemini,synonym,ourdataset.json,Q00019,0.0,1.0,0.9993458986282349
gemini,synonym,ourdataset.json,Q00019,0.0,1.0,0.9993458986282349
gemini,synonym,ourdataset.json,Q00019,0.05,,
gemini,synonym,ourdataset.json,Q00019,0.05,,
gemini,synonym,ourdataset.json,Q00019,0.05,,
gemini,synonym,ourdataset.json,Q00019,0.05,,
gemini,synonym,ourdataset.json,Q00019,0.05,,
gemini,synonym,ourdataset.json,Q00019,0.1,0.7876106194690266,0.98289555311203
gemini,synonym,ourdataset.json,Q00019,0.1,0.784070796460177,0.983271598815918
gemini,synonym,ourdataset.json,Q00019,0.1,0.7876106194690266,0.98289555311203
gemini,synonym,ourdataset.json,Q00019,0.1,0.784070796460177,0.983271598815918
gemini,synonym,ourdataset.json,Q00019,0.1,0.784070796460177,0.983271598815918
gemini,synonym,ourdataset.json,Q00019,0.15,,
gemini,synonym,ourdataset.json,Q00019,0.15,,
gemini,synonym,ourdataset.json,Q00019,0.15,,
gemini,synonym,ourdataset.json,Q00019,0.15,,
gemini,synonym,ourdataset.json,Q00019,0.15,,
gemini,synonym,ourdataset.json,Q00019,0.2,0.3424175824175817,0.9779265522956848
gemini,synonym,ourdataset.json,Q00019,0.2,0.7776061776061777,0.9808208346366882
gemini,synonym,ourdataset.json,Q00019,0.2,0.3424175824175817,0.9779265522956848
gemini,synonym,ourdataset.json,Q00019,0.2,0.3424175824175817,0.9779265522956848
gemini,synonym,ourdataset.json,Q00019,0.2,0.3424175824175817,0.9779265522956848
gemini,synonym,ourdataset.json,Q00019,0.25,,
gemini,synonym,ourdataset.json,Q00019,0.25,,
gemini,synonym,ourdataset.json,Q00019,0.25,,
gemini,synonym,ourdataset.json,Q00019,0.25,,
gemini,synonym,ourdataset.json,Q00019,0.25,,
