model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,keyboard,newleetcode.json,Q00014,0.0,0.9064967958498628,0.9970824122428894
claude,keyboard,newleetcode.json,Q00014,0.0,0.8910344827586207,0.9966405630111694
claude,keyboard,newleetcode.json,Q00014,0.0,0.710884083874624,0.9934667348861694
claude,keyboard,newleetcode.json,Q00014,0.0,0.9064967958498628,0.9970824122428894
claude,keyboard,newleetcode.json,Q00014,0.0,0.8872614615574641,0.9966291189193726
claude,keyboard,newleetcode.json,Q00014,0.05,0.3412239666693653,
claude,keyboard,newleetcode.json,Q00014,0.05,0.3412239666693653,
claude,keyboard,newleetcode.json,Q00014,0.05,0.3412239666693653,
claude,keyboard,newleetcode.json,Q00014,0.05,0.3412239666693653,
claude,keyboard,newleetcode.json,Q00014,0.05,0.3412239666693653,
claude,keyboard,newleetcode.json,Q00014,0.1,0.7355951872357122,0.9934991598129272
claude,keyboard,newleetcode.json,Q00014,0.1,0.7633604460842789,0.9927959442138672
claude,keyboard,newleetcode.json,Q00014,0.1,0.7613114754098361,0.9926368594169617
claude,keyboard,newleetcode.json,Q00014,0.1,0.5105675923100397,0.9870773553848267
claude,keyboard,newleetcode.json,Q00014,0.1,0.5904273504273505,0.9886528849601746
claude,keyboard,newleetcode.json,Q00014,0.15,0.7355951872357122,
claude,keyboard,newleetcode.json,Q00014,0.15,0.7355951872357122,
claude,keyboard,newleetcode.json,Q00014,0.15,0.7613114754098361,
claude,keyboard,newleetcode.json,Q00014,0.15,0.7613114754098361,
claude,keyboard,newleetcode.json,Q00014,0.15,0.7355951872357122,
claude,keyboard,newleetcode.json,Q00014,0.2,0.3412239666693653,0.9779165983200073
claude,keyboard,newleetcode.json,Q00014,0.2,0.5675187969924812,0.9886560440063477
claude,keyboard,newleetcode.json,Q00014,0.2,0.3412239666693653,0.9779167175292969
claude,keyboard,newleetcode.json,Q00014,0.2,0.3412239666693653,0.9779167175292969
claude,keyboard,newleetcode.json,Q00014,0.2,0.6094964028776978,0.9889892339706421
claude,keyboard,newleetcode.json,Q00014,0.25,0.44172214091617734,
claude,keyboard,newleetcode.json,Q00014,0.25,0.34633118062604973,
claude,keyboard,newleetcode.json,Q00014,0.25,0.5924010319860182,
claude,keyboard,newleetcode.json,Q00014,0.25,0.6248252653517922,
claude,keyboard,newleetcode.json,Q00014,0.25,0.5784855444771744,
claude,keyboard,newleetcode.json,Q00014,0.3,0.5419394128112032,0.9901410937309265
claude,keyboard,newleetcode.json,Q00014,0.3,0.6563135853059564,0.9912441968917847
claude,keyboard,newleetcode.json,Q00014,0.3,0.44172214091617734,0.9847967028617859
claude,keyboard,newleetcode.json,Q00014,0.3,0.44172214091617734,0.9847967028617859
claude,keyboard,newleetcode.json,Q00014,0.3,0.7472875888225292,0.9902205467224121
claude,keyboard,newleetcode.json,Q00014,0.35,0.44172214091617734,
claude,keyboard,newleetcode.json,Q00014,0.35,0.44172214091617734,
claude,keyboard,newleetcode.json,Q00014,0.35,0.5419394128112032,
claude,keyboard,newleetcode.json,Q00014,0.35,0.5419394128112032,
claude,keyboard,newleetcode.json,Q00014,0.35,0.4228121290627939,
claude,keyboard,newleetcode.json,Q00014,0.4,0.44888934420274085,0.9841130375862122
claude,keyboard,newleetcode.json,Q00014,0.4,0.34381705101937043,0.9814189076423645
claude,keyboard,newleetcode.json,Q00014,0.4,0.43665479252427275,0.9857816696166992
claude,keyboard,newleetcode.json,Q00014,0.4,0.37326419344057454,0.9799855351448059
claude,keyboard,newleetcode.json,Q00014,0.4,0.43665479252427275,0.9857586026191711
claude,keyboard,newleetcode.json,Q00014,0.45,0.39305607626022665,
claude,keyboard,newleetcode.json,Q00014,0.45,0.507543090473907,
claude,keyboard,newleetcode.json,Q00014,0.45,0.47328563332565265,
claude,keyboard,newleetcode.json,Q00014,0.45,0.36111595349155856,
claude,keyboard,newleetcode.json,Q00014,0.45,0.507543090473907,
claude,keyboard,newleetcode.json,Q00014,0.5,0.44172214091617734,0.9847186207771301
claude,keyboard,newleetcode.json,Q00014,0.5,0.44172214091617734,0.9831401705741882
claude,keyboard,newleetcode.json,Q00014,0.5,0.44172214091617734,0.9847186207771301
claude,keyboard,newleetcode.json,Q00014,0.5,0.44172214091617734,0.9847186207771301
claude,keyboard,newleetcode.json,Q00014,0.5,0.44172214091617734,0.9831401705741882
claude,keyboard,newleetcode.json,Q00014,0.55,0.27404374749594695,
claude,keyboard,newleetcode.json,Q00014,0.55,0.329683861338249,
claude,keyboard,newleetcode.json,Q00014,0.55,0.25045468416234373,
claude,keyboard,newleetcode.json,Q00014,0.55,0.28000000000000064,
claude,keyboard,newleetcode.json,Q00014,0.55,0.25180431745478205,
claude,keyboard,newleetcode.json,Q00014,0.6,0.22933333333333383,0.9719664454460144
claude,keyboard,newleetcode.json,Q00014,0.6,0.1930027464144039,0.9707944989204407
claude,keyboard,newleetcode.json,Q00014,0.6,0.20225352112676137,0.9686300158500671
claude,keyboard,newleetcode.json,Q00014,0.6,0.1930027464144039,0.9692667722702026
claude,keyboard,newleetcode.json,Q00014,0.6,0.1930027464144039,0.9707944989204407
claude,keyboard,newleetcode.json,Q00014,0.65,0.24556012114946685,
claude,keyboard,newleetcode.json,Q00014,0.65,0.31634861402601944,
claude,keyboard,newleetcode.json,Q00014,0.65,0.08699852403579708,
claude,keyboard,newleetcode.json,Q00014,0.65,0.2064892631416896,
claude,keyboard,newleetcode.json,Q00014,0.65,0.20683760683760716,
claude,keyboard,newleetcode.json,Q00014,0.7,0.29445161290322647,0.9652120471000671
claude,keyboard,newleetcode.json,Q00014,0.7,0.2666666666666674,0.9667198061943054
claude,keyboard,newleetcode.json,Q00014,0.7,0.13557681968118368,0.9533563852310181
claude,keyboard,newleetcode.json,Q00014,0.7,0.2745539906103288,0.9636083841323853
claude,keyboard,newleetcode.json,Q00014,0.7,0.15056925302925578,0.9563754796981812
claude,keyboard,newleetcode.json,Q00014,0.75,0.12315448217736902,
claude,keyboard,newleetcode.json,Q00014,0.75,0.12315448217736902,
claude,keyboard,newleetcode.json,Q00014,0.75,0.1543717644518905,
claude,keyboard,newleetcode.json,Q00014,0.75,0.12315448217736902,
claude,keyboard,newleetcode.json,Q00014,0.75,0.12315448217736902,
claude,keyboard,newleetcode.json,Q00014,0.8,0.10619826081180146,0.9624320268630981
claude,keyboard,newleetcode.json,Q00014,0.8,0.26746987951807244,0.9626930952072144
claude,keyboard,newleetcode.json,Q00014,0.8,0.2805369127516769,0.9599116444587708
claude,keyboard,newleetcode.json,Q00014,0.8,0.1150850973285259,0.9619118571281433
claude,keyboard,newleetcode.json,Q00014,0.8,0.267344632768362,0.969099223613739
claude,keyboard,newleetcode.json,Q00014,0.85,0.23964692694288586,
claude,keyboard,newleetcode.json,Q00014,0.85,0.26793434761759455,
claude,keyboard,newleetcode.json,Q00014,0.85,0.2854935622317594,
claude,keyboard,newleetcode.json,Q00014,0.85,0.15849624060150436,
claude,keyboard,newleetcode.json,Q00014,0.85,0.24742081447963765,
claude,keyboard,newleetcode.json,Q00014,0.9,0.09639662541855337,0.9545835256576538
claude,keyboard,newleetcode.json,Q00014,0.9,0.2601438848920866,0.9594576954841614
claude,keyboard,newleetcode.json,Q00014,0.9,0.2941666666666671,0.9637340307235718
claude,keyboard,newleetcode.json,Q00014,0.9,0.28406091370558434,0.9647531509399414
claude,keyboard,newleetcode.json,Q00014,0.9,0.12767986940458848,0.9569031000137329
claude,keyboard,newleetcode.json,Q00014,0.95,0.2644184015992726,
claude,keyboard,newleetcode.json,Q00014,0.95,0.28333333333333327,
claude,keyboard,newleetcode.json,Q00014,0.95,0.13645472775622375,
claude,keyboard,newleetcode.json,Q00014,0.95,0.20896225807991806,
claude,keyboard,newleetcode.json,Q00014,0.95,0.2183941605839423,
claude,keyboard,newleetcode.json,Q00014,1.0,0.2613861386138617,0.9660637974739075
claude,keyboard,newleetcode.json,Q00014,1.0,0.27503355704697946,0.9632248878479004
claude,keyboard,newleetcode.json,Q00014,1.0,0.12846970536765262,0.9659852981567383
