model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,paraphraser,ourdataset.json,Q00002,0.0,0.6345179711118603,0.9835596084594727
llama,paraphraser,ourdataset.json,Q00002,0.0,0.6703559926829086,0.9831212162971497
llama,paraphraser,ourdataset.json,Q00002,0.0,0.6739480606729534,0.9839364290237427
llama,paraphraser,ourdataset.json,Q00002,0.0,0.6717903930131033,0.9838970899581909
llama,paraphraser,ourdataset.json,Q00002,0.0,0.8293388086057348,0.0
llama,paraphraser,ourdataset.json,Q00002,0.25,0.7062983415282695,0.0
llama,paraphraser,ourdataset.json,Q00002,0.25,0.7819291014014838,0.0
llama,paraphraser,ourdataset.json,Q00002,0.25,0.7819291014014838,0.0
llama,paraphraser,ourdataset.json,Q00002,0.25,0.7689576726574883,0.0
llama,paraphraser,ourdataset.json,Q00002,0.25,0.7819291014014838,0.0
llama,paraphraser,ourdataset.json,Q00002,0.6,0.6258945184494337,0.978304386138916
llama,paraphraser,ourdataset.json,Q00002,0.6,0.6339930705377073,0.9803164601325989
llama,paraphraser,ourdataset.json,Q00002,0.6,0.6313372533814213,0.9804667234420776
llama,paraphraser,ourdataset.json,Q00002,0.6,0.721363629969934,0.0
llama,paraphraser,ourdataset.json,Q00002,0.6,0.7198341153853743,0.0
llama,paraphraser,ourdataset.json,Q00002,0.9,0.5808371154184548,0.0
llama,paraphraser,ourdataset.json,Q00002,0.9,0.6329715137287918,0.0
llama,paraphraser,ourdataset.json,Q00002,0.9,0.5749707795974811,0.0
llama,paraphraser,ourdataset.json,Q00002,0.9,0.5749707795974811,0.0
llama,paraphraser,ourdataset.json,Q00002,0.9,0.6116660965865799,0.0
