model,method,dataset,task,augmentation_rate,tsed_score,bert_score
deepseek,synonym,newleetcode.json,Q00002,0.0,0.7237086747988399,0.9954718351364136
deepseek,synonym,newleetcode.json,Q00002,0.0,0.7154572135296103,0.9951752424240112
deepseek,synonym,newleetcode.json,Q00002,0.0,0.8327736498108017,0.9970566034317017
deepseek,synonym,newleetcode.json,Q00002,0.0,0.8377589754978164,0.9971972703933716
deepseek,synonym,newleetcode.json,Q00002,0.0,0.8006666666666667,0.997207760810852
deepseek,synonym,newleetcode.json,Q00002,0.05,,
deepseek,synonym,newleetcode.json,Q00002,0.05,,
deepseek,synonym,newleetcode.json,Q00002,0.05,,
deepseek,synonym,newleetcode.json,Q00002,0.05,,
deepseek,synonym,newleetcode.json,Q00002,0.05,,
deepseek,synonym,newleetcode.json,Q00002,0.1,,
deepseek,synonym,newleetcode.json,Q00002,0.1,,
deepseek,synonym,newleetcode.json,Q00002,0.1,,
deepseek,synonym,newleetcode.json,Q00002,0.1,,
deepseek,synonym,newleetcode.json,Q00002,0.1,,
deepseek,synonym,newleetcode.json,Q00002,0.15,,
deepseek,synonym,newleetcode.json,Q00002,0.15,,
deepseek,synonym,newleetcode.json,Q00002,0.15,,
deepseek,synonym,newleetcode.json,Q00002,0.15,,
deepseek,synonym,newleetcode.json,Q00002,0.15,,
deepseek,synonym,newleetcode.json,Q00002,0.2,0.8333581776988419,0.9954853057861328
deepseek,synonym,newleetcode.json,Q00002,0.2,0.8297784689872015,0.9959632754325867
deepseek,synonym,newleetcode.json,Q00002,0.2,0.6966237373737376,0.9934415817260742
deepseek,synonym,newleetcode.json,Q00002,0.2,0.7386666666666668,0.9954749941825867
deepseek,synonym,newleetcode.json,Q00002,0.2,0.54598607888631,0.9885761141777039
deepseek,synonym,newleetcode.json,Q00002,0.25,,
deepseek,synonym,newleetcode.json,Q00002,0.25,,
deepseek,synonym,newleetcode.json,Q00002,0.25,,
deepseek,synonym,newleetcode.json,Q00002,0.25,,
deepseek,synonym,newleetcode.json,Q00002,0.25,,
deepseek,synonym,newleetcode.json,Q00002,0.3,,
deepseek,synonym,newleetcode.json,Q00002,0.3,,
deepseek,synonym,newleetcode.json,Q00002,0.3,,
deepseek,synonym,newleetcode.json,Q00002,0.3,,
deepseek,synonym,newleetcode.json,Q00002,0.3,,
deepseek,synonym,newleetcode.json,Q00002,0.35,,
deepseek,synonym,newleetcode.json,Q00002,0.35,,
deepseek,synonym,newleetcode.json,Q00002,0.35,,
deepseek,synonym,newleetcode.json,Q00002,0.35,,
deepseek,synonym,newleetcode.json,Q00002,0.35,,
deepseek,synonym,newleetcode.json,Q00002,0.4,0.8195133604578683,0.9959282875061035
deepseek,synonym,newleetcode.json,Q00002,0.4,0.7570653594771246,0.9957855939865112
deepseek,synonym,newleetcode.json,Q00002,0.4,0.8266837606837608,0.9959282875061035
deepseek,synonym,newleetcode.json,Q00002,0.4,0.6069896129106545,0.9918915033340454
deepseek,synonym,newleetcode.json,Q00002,0.4,0.726835249042146,0.9936615228652954
deepseek,synonym,newleetcode.json,Q00002,0.45,,
deepseek,synonym,newleetcode.json,Q00002,0.45,,
deepseek,synonym,newleetcode.json,Q00002,0.45,,
deepseek,synonym,newleetcode.json,Q00002,0.45,,
deepseek,synonym,newleetcode.json,Q00002,0.45,,
deepseek,synonym,newleetcode.json,Q00002,0.5,,
deepseek,synonym,newleetcode.json,Q00002,0.5,,
deepseek,synonym,newleetcode.json,Q00002,0.5,,
deepseek,synonym,newleetcode.json,Q00002,0.5,,
deepseek,synonym,newleetcode.json,Q00002,0.5,,
deepseek,synonym,newleetcode.json,Q00002,0.55,,
deepseek,synonym,newleetcode.json,Q00002,0.55,,
deepseek,synonym,newleetcode.json,Q00002,0.55,,
deepseek,synonym,newleetcode.json,Q00002,0.55,,
deepseek,synonym,newleetcode.json,Q00002,0.55,,
deepseek,synonym,newleetcode.json,Q00002,0.6,0.5712626949814851,0.9862884283065796
deepseek,synonym,newleetcode.json,Q00002,0.6,0.7170313794230478,0.9933350682258606
deepseek,synonym,newleetcode.json,Q00002,0.6,0.6279650690389411,0.9914131164550781
deepseek,synonym,newleetcode.json,Q00002,0.6,0.8114848484848487,0.9952707290649414
deepseek,synonym,newleetcode.json,Q00002,0.6,0.4997136222910218,0.9860746264457703
deepseek,synonym,newleetcode.json,Q00002,0.65,,
deepseek,synonym,newleetcode.json,Q00002,0.65,,
deepseek,synonym,newleetcode.json,Q00002,0.65,,
deepseek,synonym,newleetcode.json,Q00002,0.65,,
deepseek,synonym,newleetcode.json,Q00002,0.65,,
deepseek,synonym,newleetcode.json,Q00002,0.7,,
deepseek,synonym,newleetcode.json,Q00002,0.7,,
deepseek,synonym,newleetcode.json,Q00002,0.7,,
deepseek,synonym,newleetcode.json,Q00002,0.7,,
deepseek,synonym,newleetcode.json,Q00002,0.7,,
deepseek,synonym,newleetcode.json,Q00002,0.75,,
deepseek,synonym,newleetcode.json,Q00002,0.75,,
deepseek,synonym,newleetcode.json,Q00002,0.75,,
deepseek,synonym,newleetcode.json,Q00002,0.75,,
deepseek,synonym,newleetcode.json,Q00002,0.75,,
deepseek,synonym,newleetcode.json,Q00002,0.8,0.4293817125477755,0.9841327667236328
deepseek,synonym,newleetcode.json,Q00002,0.8,0.4321157310359184,0.9842041730880737
deepseek,synonym,newleetcode.json,Q00002,0.8,0.5101808530290393,0.9835773706436157
deepseek,synonym,newleetcode.json,Q00002,0.8,0.48969043153983866,0.9844993352890015
deepseek,synonym,newleetcode.json,Q00002,0.8,0.4168623853211004,0.9848650097846985
deepseek,synonym,newleetcode.json,Q00002,0.85,,
deepseek,synonym,newleetcode.json,Q00002,0.85,,
deepseek,synonym,newleetcode.json,Q00002,0.85,,
deepseek,synonym,newleetcode.json,Q00002,0.85,,
deepseek,synonym,newleetcode.json,Q00002,0.85,,
deepseek,synonym,newleetcode.json,Q00002,0.9,,
deepseek,synonym,newleetcode.json,Q00002,0.9,,
deepseek,synonym,newleetcode.json,Q00002,0.9,,
deepseek,synonym,newleetcode.json,Q00002,0.9,,
deepseek,synonym,newleetcode.json,Q00002,0.9,,
deepseek,synonym,newleetcode.json,Q00002,0.95,,
deepseek,synonym,newleetcode.json,Q00002,0.95,,
deepseek,synonym,newleetcode.json,Q00002,0.95,,
deepseek,synonym,newleetcode.json,Q00002,0.95,,
deepseek,synonym,newleetcode.json,Q00002,0.95,,
deepseek,synonym,newleetcode.json,Q00002,1.0,0.31100830381223704,0.983362078666687
deepseek,synonym,newleetcode.json,Q00002,1.0,0.5690167689797723,0.9842917323112488
deepseek,synonym,newleetcode.json,Q00002,1.0,0.46526462445877004,0.9840582013130188
deepseek,synonym,newleetcode.json,Q00002,1.0,0.5765354683075152,0.9857007265090942
deepseek,synonym,newleetcode.json,Q00002,1.0,0.5973177438832191,0.9861119389533997
