model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,paraphraser,newleetcode.json,Q00010,0.0,0.8168421052631579,0.9942747950553894
openai,paraphraser,newleetcode.json,Q00010,0.0,0.9336842105263157,0.9973060488700867
openai,paraphraser,newleetcode.json,Q00010,0.0,0.9352631578947369,0.9954638481140137
openai,paraphraser,newleetcode.json,Q00010,0.0,0.9336842105263157,0.9973060488700867
openai,paraphraser,newleetcode.json,Q00010,0.0,0.9352631578947369,0.9971955418586731
openai,paraphraser,newleetcode.json,Q00010,0.25,,
openai,paraphraser,newleetcode.json,Q00010,0.25,,
openai,paraphraser,newleetcode.json,Q00010,0.25,,
openai,paraphraser,newleetcode.json,Q00010,0.25,,
openai,paraphraser,newleetcode.json,Q00010,0.25,,
openai,paraphraser,newleetcode.json,Q00010,0.6,0.46771929824561403,0.9847925305366516
openai,paraphraser,newleetcode.json,Q00010,0.6,0.46771929824561403,0.9824281930923462
openai,paraphraser,newleetcode.json,Q00010,0.6,0.49168421052631583,0.9835168123245239
openai,paraphraser,newleetcode.json,Q00010,0.6,0.46348070175438616,0.9842203259468079
openai,paraphraser,newleetcode.json,Q00010,0.6,0.46348070175438616,0.9842203259468079
openai,paraphraser,newleetcode.json,Q00010,0.9,,
openai,paraphraser,newleetcode.json,Q00010,0.9,,
openai,paraphraser,newleetcode.json,Q00010,0.9,,
openai,paraphraser,newleetcode.json,Q00010,0.9,,
openai,paraphraser,newleetcode.json,Q00010,0.9,,
