model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,keyboard,newleetcode.json,Q00012,0.0,0.8751351351351351,0.9954999089241028
openai,keyboard,newleetcode.json,Q00012,0.0,0.9275675675675675,0.9969490170478821
openai,keyboard,newleetcode.json,Q00012,0.0,0.8751351351351351,0.9954999089241028
openai,keyboard,newleetcode.json,Q00012,0.0,0.9275675675675675,0.9969477653503418
openai,keyboard,newleetcode.json,Q00012,0.0,0.9275675675675675,0.9969477653503418
openai,keyboard,newleetcode.json,Q00012,0.05,,
openai,keyboard,newleetcode.json,Q00012,0.05,,
openai,keyboard,newleetcode.json,Q00012,0.05,,
openai,keyboard,newleetcode.json,Q00012,0.05,,
openai,keyboard,newleetcode.json,Q00012,0.05,,
openai,keyboard,newleetcode.json,Q00012,0.1,,
openai,keyboard,newleetcode.json,Q00012,0.1,,
openai,keyboard,newleetcode.json,Q00012,0.1,,
openai,keyboard,newleetcode.json,Q00012,0.1,,
openai,keyboard,newleetcode.json,Q00012,0.1,,
openai,keyboard,newleetcode.json,Q00012,0.15,,
openai,keyboard,newleetcode.json,Q00012,0.15,,
openai,keyboard,newleetcode.json,Q00012,0.15,,
openai,keyboard,newleetcode.json,Q00012,0.15,,
openai,keyboard,newleetcode.json,Q00012,0.15,,
openai,keyboard,newleetcode.json,Q00012,0.2,0.41480480480480464,0.9867634773254395
openai,keyboard,newleetcode.json,Q00012,0.2,0.3153846153846156,0.9816426038742065
openai,keyboard,newleetcode.json,Q00012,0.2,0.3153846153846156,0.9815397262573242
openai,keyboard,newleetcode.json,Q00012,0.2,0.3153846153846156,0.9815397262573242
openai,keyboard,newleetcode.json,Q00012,0.2,0.3153846153846156,0.9815397262573242
openai,keyboard,newleetcode.json,Q00012,0.25,,
openai,keyboard,newleetcode.json,Q00012,0.25,,
openai,keyboard,newleetcode.json,Q00012,0.25,,
openai,keyboard,newleetcode.json,Q00012,0.25,,
openai,keyboard,newleetcode.json,Q00012,0.25,,
openai,keyboard,newleetcode.json,Q00012,0.3,,
openai,keyboard,newleetcode.json,Q00012,0.3,,
openai,keyboard,newleetcode.json,Q00012,0.3,,
openai,keyboard,newleetcode.json,Q00012,0.3,,
openai,keyboard,newleetcode.json,Q00012,0.3,,
openai,keyboard,newleetcode.json,Q00012,0.35,,
openai,keyboard,newleetcode.json,Q00012,0.35,,
openai,keyboard,newleetcode.json,Q00012,0.35,,
openai,keyboard,newleetcode.json,Q00012,0.35,,
openai,keyboard,newleetcode.json,Q00012,0.35,,
openai,keyboard,newleetcode.json,Q00012,0.4,0.4298795180722892,0.9854831695556641
openai,keyboard,newleetcode.json,Q00012,0.4,0.4298795180722892,0.9854831695556641
openai,keyboard,newleetcode.json,Q00012,0.4,0.4298795180722892,0.9854831695556641
openai,keyboard,newleetcode.json,Q00012,0.4,0.4298795180722892,0.9854831695556641
openai,keyboard,newleetcode.json,Q00012,0.4,0.4298795180722892,0.9854831695556641
openai,keyboard,newleetcode.json,Q00012,0.45,,
openai,keyboard,newleetcode.json,Q00012,0.45,,
openai,keyboard,newleetcode.json,Q00012,0.45,,
openai,keyboard,newleetcode.json,Q00012,0.45,,
openai,keyboard,newleetcode.json,Q00012,0.45,,
openai,keyboard,newleetcode.json,Q00012,0.5,,
openai,keyboard,newleetcode.json,Q00012,0.5,,
openai,keyboard,newleetcode.json,Q00012,0.5,,
openai,keyboard,newleetcode.json,Q00012,0.5,,
openai,keyboard,newleetcode.json,Q00012,0.5,,
openai,keyboard,newleetcode.json,Q00012,0.55,,
openai,keyboard,newleetcode.json,Q00012,0.55,,
openai,keyboard,newleetcode.json,Q00012,0.55,,
openai,keyboard,newleetcode.json,Q00012,0.55,,
openai,keyboard,newleetcode.json,Q00012,0.55,,
openai,keyboard,newleetcode.json,Q00012,0.6,0.2940540540540543,0.9704307317733765
openai,keyboard,newleetcode.json,Q00012,0.6,0.2940540540540543,0.9704307317733765
openai,keyboard,newleetcode.json,Q00012,0.6,0.2940540540540543,0.9704307317733765
openai,keyboard,newleetcode.json,Q00012,0.6,0.2940540540540543,0.9704307317733765
openai,keyboard,newleetcode.json,Q00012,0.6,0.2940540540540543,0.9748080372810364
openai,keyboard,newleetcode.json,Q00012,0.65,,
openai,keyboard,newleetcode.json,Q00012,0.65,,
openai,keyboard,newleetcode.json,Q00012,0.65,,
openai,keyboard,newleetcode.json,Q00012,0.65,,
openai,keyboard,newleetcode.json,Q00012,0.65,,
openai,keyboard,newleetcode.json,Q00012,0.7,,
openai,keyboard,newleetcode.json,Q00012,0.7,,
openai,keyboard,newleetcode.json,Q00012,0.7,,
openai,keyboard,newleetcode.json,Q00012,0.7,,
openai,keyboard,newleetcode.json,Q00012,0.7,,
openai,keyboard,newleetcode.json,Q00012,0.75,,
openai,keyboard,newleetcode.json,Q00012,0.75,,
openai,keyboard,newleetcode.json,Q00012,0.75,,
openai,keyboard,newleetcode.json,Q00012,0.75,,
openai,keyboard,newleetcode.json,Q00012,0.75,,
openai,keyboard,newleetcode.json,Q00012,0.8,0.22059405940594085,0.9650346040725708
openai,keyboard,newleetcode.json,Q00012,0.8,0.22059405940594085,0.9650346040725708
openai,keyboard,newleetcode.json,Q00012,0.8,0.22059405940594085,0.9644323587417603
openai,keyboard,newleetcode.json,Q00012,0.8,0.22059405940594085,0.9650346040725708
openai,keyboard,newleetcode.json,Q00012,0.8,0.22059405940594085,0.9647730588912964
openai,keyboard,newleetcode.json,Q00012,0.85,,
openai,keyboard,newleetcode.json,Q00012,0.85,,
openai,keyboard,newleetcode.json,Q00012,0.85,,
openai,keyboard,newleetcode.json,Q00012,0.85,,
openai,keyboard,newleetcode.json,Q00012,0.85,,
openai,keyboard,newleetcode.json,Q00012,0.9,,
openai,keyboard,newleetcode.json,Q00012,0.9,,
openai,keyboard,newleetcode.json,Q00012,0.9,,
openai,keyboard,newleetcode.json,Q00012,0.9,,
openai,keyboard,newleetcode.json,Q00012,0.9,,
openai,keyboard,newleetcode.json,Q00012,0.95,,
openai,keyboard,newleetcode.json,Q00012,0.95,,
openai,keyboard,newleetcode.json,Q00012,0.95,,
openai,keyboard,newleetcode.json,Q00012,0.95,,
openai,keyboard,newleetcode.json,Q00012,0.95,,
openai,keyboard,newleetcode.json,Q00012,1.0,0.3651162790697674,0.9691176414489746
openai,keyboard,newleetcode.json,Q00012,1.0,0.27056603773584953,0.9719346165657043
openai,keyboard,newleetcode.json,Q00012,1.0,0.28860759493670884,0.9714065790176392
openai,keyboard,newleetcode.json,Q00012,1.0,0.27056603773584953,0.9719346165657043
openai,keyboard,newleetcode.json,Q00012,1.0,0.32396694214876043,0.9692233800888062
